,index,channelTitle,channelId.1,publishTime,title,videoId,description,videoURL,artist,song,desc_required
120,121,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-07-28T15:08:23Z,Lost Sky - Dreams [NCS Release],SHFTHDncw0g,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=SHFTHDncw0g,Lost Sky,Dreams,"Track: Lost Sky - Dreams [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/SHFTHDncw0g
Free Download / Stream: http://ncs.io/DreamsYO"
121,122,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-08-11T15:39:55Z,Robin Hustin x TobiMorrow - Light It Up (feat. Jex) [NCS Release],bdE_SyHad90,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=bdE_SyHad90,Robin Hustin x TobiMorrow,Light It Up (feat. Jex),"Track: Robin Hustin x TobiMorrow - Light It Up (feat. Jex) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/bdE_SyHad90
Free Download / Stream: http://ncs.io/LightitupYO"
122,123,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-09-01T15:03:01Z,RetroVision - Hope [NCS Release],4ukOvwQmJvE,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=4ukOvwQmJvE,RetroVision,Hope,"Track: RetroVision - Hope [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/4ukOvwQmJvE
Free Download / Stream: http://ncs.io/RVHopeYO"
123,124,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-09-15T15:08:19Z,NIVIRO ft. PollyAnna - Fast Lane [NCS Release],DqUQW3xyQ1c,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=DqUQW3xyQ1c,NIVIRO ft. PollyAnna,Fast Lane,"Track: NIVIRO ft. PollyAnna - Fast Lane [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/DqUQW3xyQ1c
Free Download / Stream: http://ncs.io/FastLaneYO"
124,125,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-09-22T15:08:03Z,RMCM &amp; James Roche - Diamonds (feat. Micah Martin) [NCS Release],NN9upfPLD0U,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=NN9upfPLD0U,RMCM &amp; James Roche,Diamonds (feat. Micah Martin),"Track: RMCM \u0026 James Roche - Diamonds (feat. Micah Martin) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/NN9upfPLD0U
Free Download / Stream: http://ncs.io/DiamondsYO"
125,126,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-10-06T15:32:55Z,Debris &amp; RudeLies - Animal (feat. Jex) [NCS Release],gU-VTxg2pxw,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=gU-VTxg2pxw,Debris &amp; RudeLies,Animal (feat. Jex),"Track: Debris \u0026 RudeLies - Animal (feat. Jex) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/gU-VTxg2pxw
Free Download / Stream: http://ncs.io/AnimalYO"
126,127,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-10-10T16:16:27Z,Last Heroes x TwoWorldsApart - Eclipse (feat. AERYN) [NCS Release],QSJljnPhiHI,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=QSJljnPhiHI,Last Heroes x TwoWorldsApart,Eclipse (feat. AERYN),"Track: Last Heroes x TwoWorldsApart - Eclipse (feat. AERYN) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/QSJljnPhiHI
Free Download / Stream: http://ncs.io/EclipseYO"
127,128,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-10-13T16:21:36Z,3rd Prototype - I Know [NCS Release],ZRnrjxDKv6Q,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=ZRnrjxDKv6Q,3rd Prototype,I Know,"Track: 3rd Prototype - I Know [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/ZRnrjxDKv6Q
Free Download / Stream: http://ncs.io/IKnowYO"
128,129,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-10-17T16:23:36Z,Diamond Eyes - Flutter [NCS Release],lEHM9HZf0IA,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=lEHM9HZf0IA,Diamond Eyes,Flutter,"Track: Diamond Eyes - Flutter [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/lEHM9HZf0IA
Free Download / Stream: http://ncs.io/FlutterYO"
129,130,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2018-10-20T15:26:50Z,Unknown Brain x Rival - Control (feat. Jex) [NCS Release],bLZHcnuqscU,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=bLZHcnuqscU,Unknown Brain x Rival,Control (feat. Jex),"Track: Unknown Brain x Rival - Control (feat. Jex) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/bLZHcnuqscU
Free Download / Stream: http://ncs.io/ControlYO"
